qiskit,shp_reduced,gleinig,topdown,dcsp,bdsp,lowrank,baa,merge,cvoqram,pivot,isometry,svd,ucg
120,1300,703,240,707,396,99,99,703,941,4055,120,126,120
120,1450,758,240,700,400,100,100,758,844,3195,120,126,120
120,1543,706,240,679,387,99,99,706,860,3768,120,127,120
120,1415,758,240,749,398,99,99,758,866,3476,120,127,120
120,1272,753,240,665,390,100,100,753,844,3766,120,126,120
120,1359,785,240,721,394,99,99,785,912,3912,120,127,120
120,1472,754,240,749,400,100,100,754,890,3490,120,126,120
120,1555,707,240,672,395,99,99,707,774,3047,120,127,120
120,1411,728,240,700,398,100,100,728,883,4052,120,127,120
120,1425,718,240,714,396,99,99,718,931,3489,120,127,120
120,1488,747,240,707,391,100,100,747,892,3777,120,127,120
120,1259,803,240,749,400,100,100,803,878,3903,120,127,120
120,1255,736,240,756,398,100,100,736,910,3488,120,127,120
120,1285,761,240,749,397,99,99,761,874,3915,120,127,120
120,1369,756,240,728,396,99,99,756,875,2906,120,127,120
120,1588,735,240,700,395,100,100,735,832,4187,120,126,120
120,1546,732,240,749,386,100,100,732,886,3330,120,126,120
120,1480,781,240,721,400,100,100,781,844,3620,120,126,120
120,1216,720,240,714,393,100,100,720,900,4337,120,127,120
120,1376,745,240,700,400,100,100,745,887,3911,120,127,120
120,1287,729,240,742,398,99,99,729,867,3479,120,127,120
120,1469,775,240,693,398,99,99,775,846,3198,120,127,120
120,1409,709,240,707,391,100,100,709,871,3055,120,126,120
120,1725,729,240,714,398,100,100,729,848,3478,120,126,120
120,1585,781,240,707,393,100,100,781,809,2915,120,127,120
120,1422,767,240,721,400,99,99,767,904,3341,120,127,120
120,1376,769,240,749,398,99,99,769,912,3337,120,126,120
120,1308,735,240,686,390,100,100,735,845,3625,120,127,120
120,1330,756,240,742,394,99,99,756,846,4054,120,127,120
120,1563,705,240,714,394,100,100,705,766,3339,120,127,120
120,1386,720,240,707,397,100,100,720,910,3188,120,127,120
120,1504,765,240,707,400,99,99,765,839,3779,120,126,120
120,1258,792,240,721,399,100,100,792,896,3767,120,126,120
120,1333,716,240,735,398,99,99,716,882,3324,120,126,120
120,1539,741,240,749,400,99,99,741,833,3482,120,127,120
120,1447,753,240,763,398,99,99,753,888,3630,120,126,120
120,1439,735,240,665,397,99,99,735,815,4191,120,126,120
120,1446,737,240,742,396,99,99,737,879,4206,120,126,120
120,1436,752,240,700,393,100,100,752,839,3474,120,126,120
120,1257,681,240,721,396,99,99,681,808,3330,120,127,120
120,1362,728,240,735,394,100,100,728,882,4048,120,126,120
120,1482,730,240,735,393,100,100,730,849,3631,120,127,120
120,1443,763,240,735,398,100,100,763,876,3630,120,126,120
120,1578,713,240,735,396,99,99,713,929,4195,120,126,120
120,1490,725,240,672,390,99,99,725,840,3902,120,127,120
120,1497,712,240,686,390,99,99,712,905,4484,120,127,120
120,1518,746,240,714,396,100,100,746,878,2901,120,127,120
120,1371,768,240,721,398,99,99,768,860,3045,120,127,120
120,1513,765,240,700,397,100,100,765,799,3181,120,126,120
120,1441,741,240,728,400,99,99,741,885,3620,120,126,120
120,1460,731,240,707,400,99,99,731,913,3179,120,126,120
120,1408,687,240,721,400,99,99,687,829,3914,120,127,120
120,1447,761,240,756,394,100,100,761,847,3332,120,127,120
120,1389,687,240,707,391,100,100,687,834,3320,120,127,120
120,1472,745,240,735,398,100,100,745,859,3907,120,126,120
120,1356,784,240,700,396,100,100,784,848,3760,120,127,120
120,1441,732,240,700,399,99,99,732,860,3915,120,126,120
120,1537,712,240,749,399,100,100,712,861,2898,120,127,120
120,1586,731,240,714,396,100,100,731,890,4198,120,126,120
120,1286,777,240,714,400,100,100,777,864,3914,120,126,120
120,1524,740,240,707,394,99,99,740,846,4064,120,126,120
120,1548,742,240,770,397,99,99,742,958,4057,120,126,120
120,1512,754,240,700,394,100,100,754,844,3614,120,127,120
120,1316,685,240,714,392,100,100,685,868,3047,120,127,120
120,1371,761,240,735,396,99,99,761,835,3480,120,127,120
120,1534,690,240,749,399,99,99,690,885,3329,120,127,120
120,1371,729,240,742,399,100,100,729,920,3903,120,126,120
120,1308,708,240,756,398,100,100,708,838,3330,120,127,120
120,1433,757,240,700,400,100,100,757,871,3618,120,126,120
120,1504,678,240,721,400,99,99,678,838,2914,120,126,120
120,1397,729,240,749,399,100,100,729,890,3332,120,126,120
120,1389,692,240,700,398,100,100,692,876,4051,120,126,120
120,1529,716,240,693,398,99,99,716,835,3909,120,126,120
120,1562,725,240,749,399,100,100,725,871,2770,120,126,120
120,1511,712,240,742,399,100,100,712,850,3488,120,127,120
120,1429,689,240,714,400,100,100,689,841,3491,120,126,120
120,1441,764,240,714,397,99,99,764,863,3758,120,126,120
120,1514,725,240,756,388,99,99,725,877,3762,120,127,120
120,1446,809,240,721,398,100,100,809,828,3767,120,126,120
120,1401,734,240,707,396,100,100,734,873,3490,120,126,120
120,1447,684,240,735,400,99,99,684,943,3619,120,126,120
120,1522,771,240,735,398,100,100,771,834,3478,120,126,120
120,1267,806,240,735,400,99,99,806,847,3485,120,126,120
