qiskit,linear,linear_reduced,shp_reduced,mst_reduced,shp,mst,random,random_reduced,graycode_reduced,gleinig,topdown,dcsp,bdsp,merge,cvoqram,pivot,isometry,ucg
120,746,57,44,57,740,738,755,75,57,21,240,308,219,21,120,99,120,120
120,743,44,60,58,740,736,746,45,40,24,238,315,215,24,121,100,120,120
120,762,57,47,56,751,747,755,64,48,32,212,378,334,32,129,114,120,120
108,744,26,32,26,739,739,753,42,47,18,216,322,255,18,130,118,108,120
120,750,59,55,46,746,741,753,49,60,20,240,322,330,20,119,113,120,120
120,747,51,39,47,744,743,762,62,63,28,234,315,314,28,144,103,120,120
120,757,52,41,49,749,747,751,69,47,28,228,266,221,28,122,105,120,120
120,754,49,22,35,737,735,744,90,32,17,236,287,250,17,122,117,120,120
120,755,58,36,36,741,741,756,68,53,23,232,224,177,23,118,114,120,120
120,751,53,52,57,747,746,758,50,41,25,240,336,262,25,154,117,120,120
120,751,56,41,46,747,743,759,60,45,24,232,343,277,24,143,116,120,120
120,747,33,42,55,747,740,750,43,54,26,210,273,284,26,126,121,120,120
120,754,47,43,43,747,744,762,58,40,29,238,329,258,29,139,119,120,120
120,740,62,36,48,741,734,756,121,45,20,240,280,246,20,125,114,120,120
120,748,41,37,26,742,740,747,93,54,27,232,322,300,27,135,98,120,120
114,753,55,48,47,745,744,760,82,57,19,222,329,337,19,125,117,114,114
120,748,38,35,31,740,738,750,77,40,20,240,315,275,20,146,114,120,120
120,756,58,48,52,747,743,758,75,54,22,218,336,319,22,121,123,120,120
120,743,44,31,45,741,738,753,83,64,32,240,231,237,32,91,101,120,120
120,748,53,33,33,738,737,749,64,26,18,232,231,253,18,117,100,120,120
120,761,65,45,39,742,742,760,64,47,41,232,252,219,41,111,102,120,120
120,758,62,35,42,744,742,766,64,62,32,240,329,275,32,155,119,120,120
120,751,54,48,35,742,738,759,57,37,21,238,399,307,21,170,108,120,120
120,747,43,52,53,748,746,758,63,45,29,216,287,242,29,117,101,120,120
120,751,75,49,45,748,741,760,69,64,22,238,343,282,22,159,99,120,120
112,747,52,35,37,739,738,750,79,48,24,224,301,270,24,138,118,112,120
118,744,56,33,54,740,740,756,63,68,23,238,301,237,23,138,115,118,118
120,747,33,26,32,739,737,749,52,49,19,232,294,263,19,117,115,120,120
120,757,71,37,44,742,740,756,71,36,29,240,280,242,29,160,83,120,120
120,758,61,47,51,748,748,756,72,54,32,228,301,244,32,107,124,120,120
120,754,59,43,54,750,742,764,45,51,28,236,385,279,28,141,113,120,120
120,752,68,40,51,745,746,757,83,40,20,240,280,271,20,134,106,120,120
120,749,54,43,70,747,742,758,72,52,23,230,315,291,23,132,120,120,120
120,747,36,36,67,746,740,755,90,33,25,240,294,278,25,94,124,120,120
120,756,59,35,26,740,740,757,72,45,17,224,280,256,17,112,114,120,120
120,754,68,37,40,746,743,749,55,41,28,236,350,273,28,142,101,120,120
120,744,36,37,38,743,737,752,71,35,16,230,343,308,16,124,112,120,120
120,747,43,54,42,749,744,759,66,62,29,226,315,305,29,130,117,120,120
120,753,47,28,47,742,743,756,63,41,19,240,322,252,19,127,108,120,120
90,748,39,48,51,742,737,746,62,37,26,210,287,246,26,96,115,90,90
120,749,64,28,46,741,739,754,58,39,24,240,266,165,24,132,113,120,120
120,742,35,31,50,738,733,740,56,75,23,240,329,275,23,107,97,120,120
120,755,77,37,32,742,737,757,97,50,17,230,350,286,17,180,116,120,120
120,756,48,45,55,748,740,761,52,55,28,240,245,231,28,117,118,120,120
120,750,76,54,42,743,739,759,68,50,30,236,371,294,30,176,120,120,120
120,756,56,47,39,743,739,756,62,55,32,238,273,264,32,116,89,120,120
120,745,31,50,44,747,738,759,73,41,31,228,343,281,31,147,116,120,120
120,749,57,43,59,748,744,756,61,54,28,238,350,350,28,134,104,120,120
120,749,45,46,37,743,744,750,60,58,22,240,273,301,22,116,114,120,120
120,751,56,41,45,747,745,764,79,58,31,232,343,310,31,140,120,120,120
120,751,56,54,41,747,742,753,67,68,23,238,280,257,23,117,114,120,120
120,751,43,55,32,745,740,757,59,36,32,240,266,181,32,111,96,120,120
120,763,66,30,44,746,747,754,32,55,30,230,308,276,30,127,98,120,120
120,750,43,42,41,747,742,753,36,50,26,240,315,317,26,116,116,120,120
120,743,38,31,24,737,733,763,61,31,14,228,336,251,14,125,99,120,120
120,755,51,43,45,748,741,744,71,62,24,236,280,217,24,131,120,120,120
120,746,39,37,39,742,742,754,64,66,21,222,252,228,21,108,87,120,120
120,754,49,52,42,746,743,760,53,56,31,228,308,269,31,119,102,120,120
112,749,52,39,34,743,740,751,66,41,27,232,273,210,27,112,112,112,120
120,746,52,29,24,734,734,750,60,43,30,216,238,245,30,96,113,120,120
120,750,31,37,30,742,742,754,68,53,22,239,273,246,22,106,72,120,120
120,749,54,33,34,739,735,753,55,50,28,220,322,297,28,128,102,120,120
120,753,48,41,51,748,743,754,54,60,21,232,336,277,21,120,110,120,120
120,744,28,48,48,744,742,753,77,59,35,210,287,282,35,93,101,120,120
112,748,29,54,46,749,741,748,51,45,26,232,322,319,26,105,85,112,120
120,757,71,36,43,742,742,754,86,40,31,226,308,267,31,118,115,120,120
120,756,48,49,53,747,742,755,46,45,22,240,301,235,22,147,112,120,120
