qiskit,shp_reduced,gleinig,topdown,dcsp,bdsp,merge,cvoqram,pivot,isometry
1013,3828,2080,2026,3766,2753,2080,2647,19357,1013
1013,4177,2116,2026,3794,2653,2116,2595,18936,1013
1013,3761,1969,2026,3514,2543,1969,2499,19160,1013
1013,3790,2058,2026,3780,2730,2058,2811,20978,1013
1013,4074,2080,2026,3444,2546,2080,2607,18277,1013
1013,4038,1989,2026,3381,2652,1989,2643,19156,1013
1013,4374,2076,2026,3836,2672,2076,2732,18710,1013
1013,4233,2099,2026,3577,2638,2099,2592,20051,1013
1013,4119,2123,2026,3780,2759,2123,2739,19603,1013
1013,3936,2063,2026,3766,2800,2063,2678,18920,1013
1013,4196,1964,2026,3423,2607,1964,2706,19610,1013
1013,3723,2047,2026,3913,2757,2047,2690,18926,1013
1013,4115,2131,2026,3843,2745,2131,2779,19133,1013
1013,4129,2152,2026,3689,2694,2152,2705,19610,1013
1013,4273,1920,2026,3836,2794,1920,2704,20045,1013
1013,4200,1948,2026,3605,2761,1948,2565,20073,1013
1013,4244,2157,2026,3766,2731,2157,2701,19824,1013
1013,4083,2105,2026,3654,2769,2105,2576,19592,1013
1013,4032,2094,2026,3787,2718,2094,2731,20965,1013
1013,3968,2085,2026,3654,2782,2085,2578,19818,1013
1013,4151,1988,2026,3969,2700,1988,2807,19623,1013
1013,4269,2030,2026,3752,2660,2030,2790,20035,1013
1013,3744,1978,2026,3353,2481,1978,2650,20293,1013
1013,3707,1979,2026,3612,2697,1979,2649,20705,1013
1013,4300,2033,2026,3479,2700,2033,2384,18262,1013
1013,4012,2091,2026,3486,2602,2091,2675,20284,1013
1013,3964,2117,2026,3451,2622,2117,2528,19599,1013
1013,4172,1952,2026,3654,2727,1952,2726,18703,1013
1013,4291,2189,2026,3577,2691,2189,2567,19596,1013
1013,3898,2059,2026,3577,2683,2059,2732,19394,1013
1013,4403,2152,2026,3731,2756,2152,2672,19601,1013
1013,3901,2065,2026,3591,2699,2065,2674,18478,1013
1013,4065,2054,2026,3675,2716,2054,2768,20048,1013
1013,4201,1976,2026,3486,2648,1976,2671,19150,1013
1013,3917,2036,2026,3570,2750,2036,2695,20286,1013
1013,3968,2018,2026,3689,2734,2018,2682,19610,1013
1013,3948,2096,2026,3766,2678,2096,2745,20060,1013
1013,3965,2112,2026,3647,2754,2112,2679,19852,1013
1013,4199,2079,2026,3598,2754,2079,2635,20039,1013
1013,4234,2054,2026,3780,2643,2054,2671,20052,1013
1013,3541,2253,2026,3864,2680,2253,2694,19371,1013
1013,4117,2105,2026,3738,2691,2105,2780,20263,1013
1013,4064,2118,2026,3724,2708,2118,2610,20487,1013
1013,4300,1981,2026,3773,2715,1981,2661,19798,1013
1013,3941,2012,2026,3703,2723,2012,2676,19356,1013
1013,4006,1901,2026,3773,2640,1901,2805,20066,1013
1013,3915,2156,2026,3661,2734,2156,2552,20042,1013
1013,4141,2051,2026,3507,2786,2051,2527,17581,1013
